Parent Broker/Customer/Agency,Parent Agency (of Brokerage),Class of Business,Program,Policy Number/Certificate Ref.,Underwriter,Producer,PL Retroactive Date,GL Retroactive Date,Coverage,Exposure Class,Exposure Factor,Program Classes Rating Unit,Count,Rate,Policy Fee,Surplus Lines Tax,Stamping Fee,Other Fee,Insured,Insured Address,Insured City,Insured State,Insured Zip,Effective Date,Expiration Date,Bound Date,Type of Business,Opportunity Status,Limit,Limit (General Liability),Deductible,Gross Premium,Broker Commission,Commission Percent,Returned Premium,Earned Premium,Reason for Lost/Cancelled/Declined,Cancelled Date,PSA Limit,HNOA Drivers,HNOA Limit
J.A. Knapp Agency,,Nanny Services (No Live-Ins),Small Business,SPG0000011-251,Sarah Peichel,Adam Griggs ,5/1/2015,5/1/2015,Professional and General Liability: Claims Made,Nanny Services (No Live-Ins),1,Receipts,500000,3879.47175,350,,,,The Nanny Joynt LLC,10001 N 39th St ,Phoenix,AZ,85028,5/1/2025,5/1/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",6401,20,30,,,,,"$1,000,000/$3,000,000",,
AmWINS Brokerage of the Midwest - IL,,Medical Personnel Staffing Services for Long Term Care Facilities,Small Business,SPG0000017-251,Roohi Khan,Melissa  Niedelman ,5/1/2023,,Professional Liability: Claims Made | General Liability: Occurrence,Medical Personnel Services (Staff Relief),1,Receipts,910000,7805.215018,350,,,,FH Staffing Solutions LLC,2 Beaumont Ave. ,Brockton,MA,2302,5/1/2025,5/1/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",10974,20,30,,,,,"$1,000,000/$3,000,000",,
R.E. Chaix & Associates Insurance Brokers Inc.-Irvine,,Hospice Services,Small Business,SPG0000015-251,Roohi Khan,Gloria McShane,5/1/2014,5/1/2014,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,565000,6356.514462,350,,,,"Victory Hospice Care, Inc",5500 Van Nuys Blvd ,Sherman Oaks,CA,91401,5/1/2025,5/1/2026,5/27/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",7290,20,30,,,,,"$1,000,000/$1,000,000",1,"$250,000/$250,000"
R.E. Chaix & Associates Insurance Brokers Inc.-Irvine,,Hospice Services,Small Business,SPG0000016-251,Roohi Khan,Gloria McShane,5/1/2018,5/1/2018,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,350000,3937.663826,350,,,,Camarillo Hospice Care Inc.,"5605 Woodman Ave., Suite #205 ",Van Nuys,CA,91401,5/1/2025,5/1/2026,5/27/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",5108,20,30,,,,,"$1,000,000/$1,000,000",1,"$250,000/$250,000"
Jencap Specialty Insurance Services FKA Quaker Special Risk,,Home Healthcare Services,Small Business,SPG0000012-251,Christina Rentas,Matthew Walsh,5/1/2020,5/1/2020,Professional and General Liability: Claims Made,Medical Personnel Services (Staff Relief),1,Receipts,400000,6540.8728,350,,,,Companion Care of the Treasure Coast,808 SE Dixie Hwy ,Stuart,FL,34994,5/1/2025,5/1/2026,5/8/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",6639,20,30,,,,,"$200,000/$600,000",,
Agency Marketing Services/Allsouth Professional,Doxa Insurance Holdings,Nurse Practitioner,Small Business,SPG0000005-251,Sarah Peichel,Michella Dobson,5/1/2023,5/1/2023,Professional and General Liability: Claims Made,Nurse Practitioner,1,People,1,3243.238383,250,,,,"Jose Luis Santos Jr., DNP, FNP-BC",2600 Cedar Ave. ,Laredo,TX,78040,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$2,500 ",2789,20,30,,,,,"$25,000/$25,000",,
"Bridge Specialty Group, LLC FKA ECC Insurance Brokers LLC",Bridge Specialty Insurance Brokerage,Drug test specimen collection services,Small Business,SPG0000001-251,Christina Rentas,Josie Ramirez,5/27/2022,,Professional Liability: Claims Made | General Liability: Occurrence,Medical Labs (Specimen Collection Only),1,Receipts,120000,1006.105162,250,,,,"Wiz Quiz Lakewood, LLC",7585 W Arkansas ,Lakewood,CO,80232,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2932,20,30,,,,,"$200,000/$600,000",,
Stoermer Insurance Brokerage ,,Home Healthcare Services,Small Business,SPG0000019-251,Sarah Peichel,Caley Hall Erwin,5/1/2024,5/1/2024,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,24000,138.1992982,250,,,,"Gentle Loving Health Care, LLC",811 Littleton Dr ,Pickerington,OH,43147,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2800,20,30,,,,,"$100,000/$300,000",,
AmWINS Brokerage Of Georgia LLC - Atlanta,,Home Healthcare Services,Small Business,SPG0000046-251,Roohi Khan,Scott Babb,5/1/2024,5/1/2024,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,200000,1151.660818,250,,,,"Faith Works Home Health Care, Inc","1700 E Arlington Blvd, Ste A ",Greenville,NC,27858,5/1/2025,5/1/2026,5/15/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",1725,20,30,,,,,"$100,000/$300,000",,
SLB Insurance Group,,Home Healthcare Services,Small Business,SPG0000006-251,Christina Rentas,Adam Firestone,5/1/2023,5/1/2023,Professional and General Liability: Claims Made,Home Health Agency,1,Receipts,350000,2815.641338,250,,,,Always Best at Home Nursing Services LLC,"2500 Quantum Lakes Dr, Ste 203 ",Boynton Beach,FL,33426,5/1/2025,5/1/2026,5/9/2025,Renewal,bound,"$1,000,000/$3,000,000","$1,000,000/$3,000,000","$1,000 ",2675,20,30,,,,,"$100,000/$300,000",,
